Symbol,Name,Trade_Date,Settlement_Date,Side,Quantity,Price,Gross_Amount,Commission,Fee_Tax,Net_Amount,Asset_Type
QQQ,Invesco QQQ Trust,2026-01-06,2026-01-07,BUY,1,623.49,-623.49,0.00,0.00,-623.49,stock
DTCR,Global X Data Center ETF,2026-01-06,2026-01-07,BUY,10,22.61,-226.10,0.00,0.00,-226.10,stock
BOTZ,Global X Robotics AI ETF,2026-01-06,2026-01-07,BUY,3,37.95,-113.85,0.00,0.00,-113.85,stock
SPY,SPY Put 685 01/09,2026-01-09,2026-01-12,BUY,2,0.37,-74.00,0.00,-0.10,-74.10,option
SPY,SPY Put 685 01/09,2026-01-09,2026-01-12,SELL,2,0.28,56.00,0.00,-0.11,55.89,option
CIBR,First Trust Cybersecurity ETF,2026-01-09,2026-01-12,BUY,5,72.16,-360.80,0.00,0.00,-360.80,stock
SMH,VanEck Semiconductor ETF,2026-01-09,2026-01-12,BUY,2,384.64,-769.28,0.00,0.00,-769.28,stock
CLOU,Global X Cloud Computing ETF,2026-01-09,2026-01-12,BUY,10,22.60,-226.00,0.00,0.00,-226.00,stock
DMAT,Global X Disruptive Materials ETF,2026-01-09,2026-01-12,BUY,1,30.37,-30.37,0.00,0.00,-30.37,stock
MP,MP Materials Corp,2026-01-09,2026-01-12,BUY,1,62.28,-62.28,0.00,0.00,-62.28,stock
QBTS,D-Wave Quantum Inc,2026-01-09,2026-01-12,BUY,10,29.61,-296.08,0.00,0.00,-296.09,stock
CVX,Chevron Corporation,2026-01-12,2026-01-13,BUY,1,162.18,-162.18,0.00,0.00,-162.18,stock
JPXN,iShares JPX-Nikkei 400 ETF,2026-01-13,2026-01-14,BUY,5,90.42,-452.10,0.00,0.00,-452.10,stock
INTC,Intel Corp,2026-01-13,2026-01-14,BUY,20,47.43,-948.55,0.00,0.00,-948.55,stock
PLTR,Palantir Technologies,2026-01-13,2026-01-14,BUY,2,179.14,-358.28,0.00,0.00,-358.28,stock
KTOS,Kratos Defense,2026-01-13,2026-01-14,BUY,5,119.70,-598.50,0.00,0.00,-598.50,stock
AVAV,AeroVironment Inc,2026-01-13,2026-01-14,BUY,1,362.50,-362.50,0.00,0.00,-362.50,stock
CVX,Chevron Corporation,2026-01-13,2026-01-14,SELL,1,164.32,164.32,0.00,-0.01,164.31,stock
DMAT,Global X Disruptive Materials ETF,2026-01-13,2026-01-14,BUY,1,31.55,-31.55,0.00,0.00,-31.55,stock
ONDS,Ondas Inc,2026-01-16,2026-01-20,BUY,50,12.57,-628.42,0.00,0.00,-628.43,stock
MP,MP Materials Corp,2026-01-16,2026-01-20,BUY,10,69.25,-692.50,0.00,0.00,-692.50,stock
NFLX,Netflix Inc,2026-01-20,2026-01-21,BUY,4,88.23,-352.92,0.00,0.00,-352.92,stock
PSKY,Paramount Skydance Corp,2026-01-20,2026-01-21,BUY,25,11.50,-287.50,0.00,0.00,-287.50,stock
DMAT,Global X Disruptive Materials ETF,2026-01-20,2026-01-21,BUY,1,31.53,-31.53,0.00,0.00,-31.53,stock
IVF,Invo Fertility Inc,2026-01-20,2026-01-21,BUY,5,3.62,-18.10,0.00,0.00,-18.10,stock
AVAV,AeroVironment Inc,2026-01-20,2026-01-21,SELL,1,326.00,326.00,0.00,-0.01,325.99,stock
WBD,Warner Bros Discovery,2026-01-21,2026-01-22,BUY,5,28.61,-143.04,0.00,0.00,-143.04,stock
QBTS,D-Wave Quantum Inc,2026-01-21,2026-01-22,SELL,10,25.00,250.00,0.00,-0.01,249.99,stock
PLTR,Palantir Technologies,2026-01-21,2026-01-22,SELL,2,161.22,322.44,0.00,-0.01,322.43,stock
CLOU,Global X Cloud Computing ETF,2026-01-21,2026-01-22,SELL,10,20.69,206.90,0.00,-0.01,206.89,stock
ONDS,Ondas Inc,2026-01-21,2026-01-22,SELL,50,12.10,605.08,0.00,-0.01,605.07,stock
BOTZ,Global X Robotics AI ETF,2026-01-21,2026-01-22,BUY,5,37.29,-186.44,0.00,0.00,-186.44,stock
KTOS,Kratos Defense,2026-01-21,2026-01-22,SELL,5,116.36,581.80,0.00,-0.01,581.79,stock
IVF,Invo Fertility Inc,2026-01-21,2026-01-22,SELL,5,1.94,9.70,0.00,-0.01,9.69,stock
SOFI,SoFi Technologies,2026-01-22,2026-01-23,BUY,10,26.05,-260.50,0.00,0.00,-260.50,stock
AMD,Advanced Micro Devices,2026-01-22,2026-01-23,BUY,2,249.95,-499.90,0.00,0.00,-499.90,stock
NVDA,Nvidia Corporation,2026-01-22,2026-01-23,BUY,2,184.52,-369.04,0.00,0.00,-369.04,stock
TSM,Taiwan Semiconductor,2026-01-22,2026-01-23,BUY,1,331.69,-331.69,0.00,0.00,-331.69,stock
DXCM,Dexcom Inc,2026-01-22,2026-01-23,BUY,3,74.98,-224.92,0.00,0.00,-224.93,stock
NEE,NextEra Energy,2026-01-22,2026-01-23,BUY,3,85.12,-255.35,0.00,0.00,-255.35,stock
NFLX,Netflix Inc,2026-01-22,2026-01-23,SELL,4,83.42,333.66,0.00,-0.01,333.65,stock
WBD,Warner Bros Discovery,2026-01-22,2026-01-23,SELL,5,28.38,141.91,0.00,-0.01,141.90,stock
PSKY,Paramount Skydance Corp,2026-01-22,2026-01-23,SELL,25,11.81,295.29,0.00,-0.01,295.28,stock
IBRX,ImmunityBio Inc,2026-01-22,2026-01-23,BUY,6,7.30,-43.80,0.00,0.00,-43.80,stock
INTC,Intel Corp,2026-01-22,2026-01-23,BUY,5,50.00,-250.00,0.00,0.00,-250.00,stock
INTC,Intel Corp,2026-01-23,2026-01-26,SELL,25,46.28,1156.88,0.00,-0.01,1156.87,stock
DMAT,Global X Disruptive Materials ETF,2026-01-23,2026-01-26,SELL,3,33.51,100.53,0.00,-0.01,100.52,stock
MP,MP Materials Corp,2026-01-23,2026-01-26,SELL,11,67.64,744.04,0.00,-0.01,744.03,stock
JPXN,iShares JPX-Nikkei 400 ETF,2026-01-23,2026-01-26,SELL,5,90.15,450.75,0.00,-0.01,450.74,stock
QQQ,Invesco QQQ Trust,2026-01-23,2026-01-26,SELL,1,619.58,619.58,0.00,-0.01,619.57,stock
SMH,VanEck Semiconductor ETF,2026-01-23,2026-01-26,SELL,2,398.04,796.08,0.00,-0.01,796.08,stock
CIBR,First Trust Cybersecurity ETF,2026-01-23,2026-01-26,SELL,5,70.88,354.42,0.00,-0.01,354.42,stock
SOFI,SoFi Technologies,2026-01-23,2026-01-26,SELL,10,25.98,259.75,0.00,-0.01,259.74,stock
NEE,NextEra Energy,2026-01-23,2026-01-26,SELL,3,84.68,254.06,0.00,-0.01,254.05,stock
DXCM,Dexcom Inc,2026-01-23,2026-01-26,SELL,3,72.68,218.05,0.00,-0.01,218.04,stock
IBRX,ImmunityBio Inc,2026-01-23,2026-01-26,SELL,6,7.12,42.74,0.00,-0.01,42.73,stock
BOTZ,Global X Robotics AI ETF,2026-01-23,2026-01-26,SELL,8,37.74,301.92,0.00,-0.01,301.91,stock
DTCR,Global X Data Center ETF,2026-01-23,2026-01-26,SELL,10,23.39,233.93,0.00,-0.01,233.92,stock
AMD,Advanced Micro Devices,2026-01-23,2026-01-26,SELL,2,263.88,527.76,0.00,-0.01,527.75,stock
NVDA,Nvidia Corporation,2026-01-23,2026-01-26,SELL,2,187.82,375.64,0.00,-0.01,375.63,stock
TSM,Taiwan Semiconductor,2026-01-23,2026-01-26,SELL,1,333.59,333.59,0.00,-0.01,333.58,stock
GLDM,SPDR Gold MiniShares,2026-01-28,2026-01-29,BUY,10,104.80,-1047.98,0.00,0.00,-1047.99,stock
VOLT,Tema Electrification ETF,2026-01-28,2026-01-29,BUY,30,31.96,-958.78,0.00,0.00,-958.78,stock
BULL,Webull Corp,2026-01-29,2026-01-30,BUY,100,7.57,-757.00,0.00,0.00,-757.00,stock
PLTR,Palantir Technologies,2026-01-29,2026-01-30,BUY,5,149.35,-746.75,0.00,0.00,-746.75,stock
HOOD,Robinhood Markets,2026-01-29,2026-01-30,BUY,5,99.99,-499.95,0.00,0.00,-499.95,stock
PLTR,Palantir Technologies,2026-01-30,2026-02-02,SELL,5,148.36,741.80,0.00,-0.01,741.79,stock
GLDM,SPDR Gold MiniShares,2026-01-30,2026-02-02,SELL,10,100.31,1003.10,0.00,-0.01,1003.09,stock
BULL,Webull Corp,2026-01-30,2026-02-02,SELL,100,7.15,715.16,0.00,-0.02,715.14,stock
VOLT,Tema Electrification ETF,2026-01-30,2026-02-02,SELL,30,32.60,978.00,0.00,-0.01,977.99,stock
HOOD,Robinhood Markets,2026-01-30,2026-02-02,SELL,5,103.52,517.58,0.00,-0.01,517.57,stock
SLV,iShares Silver Trust,2026-02-03,2026-02-04,BUY,10,80.22,-802.19,0.00,0.00,-802.19,stock
INTC,Intel Corp,2026-02-03,2026-02-04,BUY,20,50.67,-1013.40,0.00,0.00,-1013.40,stock
SLV,iShares Silver Trust,2026-02-03,2026-02-04,SELL,10,77.92,779.15,0.00,-0.01,779.14,stock
REMX,VanEck Rare Earth Metals ETF,2026-02-03,2026-02-04,BUY,10,90.15,-901.50,0.00,0.00,-901.50,stock
SETM,Sprott Critical Materials ETF,2026-02-03,2026-02-04,BUY,20,37.88,-757.60,0.00,0.00,-757.60,stock
SETM,Sprott Critical Materials ETF,2026-02-04,2026-02-05,SELL,20,35.94,718.75,0.00,-0.01,718.74,stock
REMX,VanEck Rare Earth Metals ETF,2026-02-04,2026-02-05,SELL,10,85.80,858.03,0.00,-0.01,858.02,stock
INTC,Intel Corp,2026-02-04,2026-02-05,SELL,20,48.92,978.40,0.00,-0.01,978.39,stock
SLV,iShares Silver Trust,2026-02-05,2026-02-06,BUY,10,66.99,-669.90,0.00,0.00,-669.90,stock
AMD,Advanced Micro Devices,2026-02-05,2026-02-06,BUY,5,195.68,-978.40,0.00,0.00,-978.40,stock
NVDA,Nvidia Corporation,2026-02-05,2026-02-06,BUY,5,174.09,-870.45,0.00,0.00,-870.45,stock
SLV,iShares Silver Trust,2026-02-05,2026-02-06,SELL,10,64.10,641.00,0.00,-0.01,640.99,stock
AMD,Advanced Micro Devices,2026-02-06,2026-02-09,SELL,5,207.61,1038.04,0.00,-0.01,1038.03,stock
NVDA,Nvidia Corporation,2026-02-06,2026-02-09,SELL,5,183.97,919.86,0.00,-0.01,919.85,stock
DIA,SPDR Dow Jones ETF,2026-02-09,2026-02-10,BUY,3,502.01,-1506.03,0.00,0.00,-1506.03,stock
SOUN,SoundHound Call 9 02/13,2026-02-09,2026-02-10,BUY,2,0.33,-66.00,0.00,-0.10,-66.10,option
SOUN,SoundHound Call 10 02/13,2026-02-09,2026-02-10,BUY,10,0.09,-90.00,0.00,-0.49,-90.49,option
SPY,SPY Put 693 02/09,2026-02-09,2026-02-10,BUY,10,0.115,-115.00,0.00,-0.49,-115.49,option
SPY,SPY Put 693 02/09,2026-02-09,2026-02-10,SELL,10,0.10,100.00,0.00,-0.52,99.48,option
SOUN,SoundHound Call 10 02/13,2026-02-09,2026-02-10,SELL,10,0.06,60.00,0.00,-0.52,59.48,option
SPY,SPY Call 698 02/10,2026-02-10,2026-02-11,BUY,5,0.28,-140.00,0.00,-0.25,-140.25,option
SPY,SPY Call 698 02/10,2026-02-10,2026-02-11,SELL,5,0.27,135.00,0.00,-0.27,134.73,option
AMZN,Amazon.com Inc,2026-02-13,2026-02-17,BUY,2,198.75,-397.50,0.00,0.00,-397.50,stock
NVDA,Nvidia Corporation,2026-02-17,2026-02-18,BUY,3,181.59,-544.77,0.00,0.00,-544.77,stock
DIA,SPDR Dow Jones ETF,2026-02-17,2026-02-18,SELL,1,494.57,494.57,0.00,-0.01,494.56,stock
GOOG,Alphabet Inc,2026-02-17,2026-02-18,BUY,1,301.37,-301.37,0.00,0.00,-301.37,stock
PLTR,Palantir Technologies,2026-02-17,2026-02-18,BUY,2,131.63,-263.25,0.00,0.00,-263.25,stock
DIA,SPDR Dow Jones ETF,2026-02-18,2026-02-19,SELL,1,498.22,498.22,0.00,-0.01,498.21,stock
IWM,iShares Russell 2000 ETF,2026-02-18,2026-02-19,BUY,1,266.66,-266.66,0.00,0.00,-266.66,stock
CRM,Salesforce Inc,2026-02-18,2026-02-19,BUY,1,188.05,-188.05,0.00,0.00,-188.05,stock
DIA,SPDR Dow Jones ETF,2026-02-19,2026-02-20,SELL,1,493.17,493.17,0.00,-0.01,493.16,stock
INTU,Intuit,2026-02-19,2026-02-20,BUY,1,382.00,-382.00,0.00,0.00,-382.00,stock
NVDA,Nvidia Corporation,2026-02-20,2026-02-23,SELL,3,188.97,566.91,0.00,-0.01,566.90,stock
GOOG,Alphabet Inc,2026-02-20,2026-02-23,SELL,1,314.80,314.80,0.00,-0.01,314.79,stock
PLTR,Palantir Technologies,2026-02-20,2026-02-23,SELL,2,133.83,267.66,0.00,-0.01,267.65,stock
INTU,Intuit,2026-02-20,2026-02-23,SELL,1,381.45,381.45,0.00,-0.01,381.44,stock
CRM,Salesforce Inc,2026-02-20,2026-02-23,SELL,1,187.31,187.31,0.00,-0.01,187.30,stock
IWM,iShares Russell 2000 ETF,2026-02-20,2026-02-23,SELL,1,264.18,264.18,0.00,-0.01,264.17,stock
AMZN,Amazon.com Inc,2026-02-20,2026-02-23,SELL,2,208.63,417.25,0.00,-0.01,417.24,stock
VRTX,Vertex Pharmaceuticals,2026-02-23,2026-02-24,BUY,2,476.00,-952.00,0.00,0.00,-952.00,stock
VRTX,Vertex Pharmaceuticals,2026-02-25,2026-02-26,SELL,2,484.10,968.20,0.00,-0.01,968.19,stock
INTU,Intuit,2026-02-25,2026-02-26,BUY,2,373.51,-747.02,0.00,0.00,-747.02,stock
NVDA,Nvidia Corporation,2026-02-26,2026-02-27,BUY,5,195.62,-978.10,0.00,0.00,-978.10,stock
MU,Micron Technology,2026-02-26,2026-02-27,BUY,1,423.99,-423.99,0.00,0.00,-423.99,stock
AMZN,Amazon.com Inc,2026-02-26,2026-02-27,BUY,2,209.13,-418.26,0.00,0.00,-418.26,stock
NVDA,Nvidia Corporation,2026-02-26,2026-02-27,SELL,5,187.00,935.02,0.00,-0.01,935.02,stock
NVDA,Nvidia Corporation,2026-02-26,2026-02-27,BUY,5,186.03,-930.15,0.00,0.00,-930.15,stock
INTU,Intuit,2026-02-26,2026-02-27,SELL,2,389.59,779.18,0.00,-0.01,779.17,stock
CRM,Salesforce Inc,2026-02-26,2026-02-27,BUY,2,199.90,-399.80,0.00,0.00,-399.80,stock
INTU,Intuit,2026-02-26,2026-02-27,BUY,1,393.25,-393.25,0.00,0.00,-393.25,stock
INTU,Intuit,2026-02-26,2026-02-27,SELL,1,374.54,374.54,0.00,-0.01,374.53,stock
MSFT,Microsoft Corp,2026-02-27,2026-03-02,BUY,2,390.43,-780.86,0.00,0.00,-780.86,stock
DELL,Dell Technologies,2026-02-27,2026-03-02,BUY,2,147.49,-294.98,0.00,0.00,-294.98,stock
MSFT,Microsoft Corp,2026-02-27,2026-03-02,BUY,1,395.01,-395.01,0.00,0.00,-395.01,stock
NVDA,Nvidia Corporation,2026-02-27,2026-03-02,BUY,1,179.65,-179.65,0.00,0.00,-179.65,stock
IONQ,IonQ Inc,2026-02-27,2026-03-02,BUY,7,36.75,-257.22,0.00,0.00,-257.22,stock
